,name,group,ID,hem,metric,stream,point,values
1,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,1,0.745281
2,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,2,0.762112
3,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,3,0.764371
4,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,4,0.764371
5,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,5,0.764371
6,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,6,0.816906
7,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,7,0.884379
8,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,8,0.884379
9,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,9,0.892273
10,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.1,bcnu,R83A,l,uFA,1,10,0.892273
11,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,1,0.747382
12,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,2,0.747382
13,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,3,0.743047
14,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,4,0.743047
15,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,5,0.743047
16,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,6,0.755726
17,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,7,0.816906
18,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,8,0.816906
19,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,9,0.870678
20,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.2,bcnu,R83A,l,uFA,2,10,0.870678
21,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,1,0.702813
22,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,2,0.702813
23,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,3,0.75767
24,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,4,0.75767
25,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,5,0.75767
26,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,6,0.755726
27,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,7,0.755726
28,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,8,0.755726
29,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,9,0.797466
30,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.3,bcnu,R83A,l,uFA,3,10,0.870678
31,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,1,0.598251
32,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,2,0.598251
33,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,3,0.751713
34,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,4,0.751713
35,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,5,0.751713
36,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,6,0.721255
37,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,7,0.721255
38,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,8,0.721255
39,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,9,0.797466
40,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.4,bcnu,R83A,l,uFA,4,10,0.797466
41,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,1,0.490603
42,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,2,0.490603
43,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,3,0.740058
44,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,4,0.740058
45,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,5,0.740058
46,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,6,0.742052
47,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,7,0.742052
48,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,8,0.721255
49,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,9,0.754125
50,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.5,bcnu,R83A,l,uFA,5,10,0.754125
51,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,1,0.655061
52,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,2,0.655061
53,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,3,0.595788
54,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,4,0.595788
55,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,5,0.716677
56,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,6,0.716677
57,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,7,0.742052
58,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,8,0.73397
59,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,9,0.73397
60,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.6,bcnu,R83A,l,uFA,6,10,0.754125
61,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,1,0.733428
62,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,2,0.446537
63,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,3,0.446537
64,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,4,0.732802
65,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,5,0.732802
66,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,6,0.708133
67,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,7,0.708133
68,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,8,0.73397
69,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,9,0.719798
70,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.7,bcnu,R83A,l,uFA,7,10,0.760683
71,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,1,0.31614
72,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,2,0.312728
73,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,3,0.551902
74,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,4,0.551902
75,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,5,0.725368
76,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,6,0.725368
77,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,7,0.720419
78,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,8,0.719798
79,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,9,0.719798
80,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.8,bcnu,R83A,l,uFA,8,10,0.75776
81,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.9,bcnu,R83A,l,uFA,9,1,0.340165
82,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.9,bcnu,R83A,l,uFA,9,2,0.371158
83,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.9,bcnu,R83A,l,uFA,9,3,0.371158
84,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.9,bcnu,R83A,l,uFA,9,4,0.564368
85,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.9,bcnu,R83A,l,uFA,9,5,0.742895
86,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.9,bcnu,R83A,l,uFA,9,6,0.742895
87,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.9,bcnu,R83A,l,uFA,9,7,0.720419
88,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.9,bcnu,R83A,l,uFA,9,8,0.743581
